url,doctype,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,title,last_update,keyword,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/00094357 PRODOC Gender Mainstreaming.pdf,pdf,good,ok,6,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,00094357 PRODOC Gender Mainstreaming,28/09/20,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ABW/Signed prodoc -Centre of Excellence for SIDS in Aruba.pdf,pdf,good,ok,7,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Aruba Centre of Excellence Signed Prodoc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Addendum no lll_Project Document.pdf,pdf,bad,not ok,3,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/AD-HDR 2010-2011 ProDoc Signed.pdf,pdf,good,ok,7,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/AD-HDR 2010-2011 ProDoc Signed-Arabic.pdf,pdf,bad,review,0,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/AWP and extension letter 36456- 26 February.pdf,pdf,bad,not ok,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Cap bldg Ministry of Dev and Int Coop.pdf,pdf,good,ok,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Cap bldg Ministry of Dev and Int Coop pro doc,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/Capacity Building Ministry of Economy 00044491.pdf,pdf,good,ok,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Capacity Building Ministry of Economy ,10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/DCCE PD coloured signed.pdf,pdf,good,ok,6,15,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Rethinking Development: Thought leadership for a green, zero-carbon future",10/03/21,,,,,,,,,
https://info.undp.org/docs/pdc/Documents/ARE/DCCE prodoc - final (clean) 14Jan11.doc,doc,bad,ok,6,84,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Project Document - DCCE,10/03/21,,,,,,,,,
