doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,ProDoc ICT Capacity Building - Copy.pdf,Document deleted,ProDoc ICT Capacity Building  Copy,AFG,00011019,Project,PRODOC,ATLASPDC-4-35082,7/27/2015,7/27/2015,,0,16/03/21,ok,ok,5.0,37.0,False,True,True,False,True,True,True,True,True,False,ok,ok
document deleted,ProDoc Partnership for Private Sector Development.pdf,Document deleted,ProDoc Partnership for Private Sector Development,AFG,00011046,Project,PRODOC,ATLASPDC-4-35084,7/27/2015,7/27/2015,,0,16/03/21,ok,ok,2.0,23.0,False,True,False,False,False,False,True,True,True,False,ok,ok
pdf,ProDoc_DRR IV Phase_Armenia.pdf,https://info.undp.org/docs/pdc/Documents/ARM/ProDoc_DRR IV Phase_Armenia.pdf,Project Document_2013-2015,ARM,00011263,Project,PRODOC,ATLASPDC-4-37606,7/28/2019,8/31/2015,,0,16/03/21,bad,ok,3.0,49.0,False,True,False,False,True,False,True,True,False,True,ok,ok
pdf,ProDoc_00076016_2017-2019_ECHO.pdf,https://info.undp.org/docs/pdc/Documents/ARM/ProDoc_00076016_2017-2019_ECHO.pdf,Project Document_2017-2019,ARM,00011263,Project,PRODOC,ATLASPDC-4-77649,7/28/2019,02/09/18,,0,16/03/21,bad,ok,1.0,34.0,False,False,False,False,False,False,True,True,False,False,ok,ok
pdf,MicroStart Pilot Project 2014 AWP.pdf,https://info.undp.org/docs/pdc/Documents/BRB/MicroStart Pilot Project 2014 AWP.pdf,MicroStart Pilot Project 2014 AWP,BRB,00011324,Project,PRODOC,ATLASPDC-4-40936,10/10/15,10/10/15,,0,16/03/21,good,ok,6.0,6.0,True,True,False,True,True,True,True,False,False,True,ok,ok
pdf,CARTAC__Project_Document_Phase_1.pdf,https://info.undp.org/docs/pdc/Documents/BRB/CARTAC__Project_Document_Phase_1.pdf,CARTAC__Project_Document_Phase_1,BRB,00011326,Project,PRODOC,ATLASPDC-4-40476,9/30/2015,9/30/2015,,0,16/03/21,bad,review,0.0,29.0,False,False,False,False,False,False,False,False,False,True,ok,ok
pdf,Pro doc SUPPD prodoc.pdf,https://info.undp.org/docs/pdc/Documents/BGD/Pro doc SUPPD prodoc.pdf,Pro doc SUPPD prodoc,BGD,00011492,Project,PRODOC,ATLASPDC-4-35817,08/03/15,08/03/15,,0,16/03/21,good,ok,7.0,13.0,True,True,True,True,True,True,True,True,True,False,ok,ok
document deleted,BRA99G32 Revisão Geral Janeiro 2015.pdf,Document deleted,Budget revision Jan 2015,BRA,00011660,Project,PRODOC,ATLASPDC-4-30590,05/12/15,05/12/15,,0,16/03/21,ok,ok,6.0,18.0,True,True,True,False,True,True,True,False,False,True,ok,ok
document deleted,BRA99G32 Revisão Substantiva ass junho 2015.pdf,Document deleted,Substantive Revision signed in June 2015,BRA,00011660,Project,PRODOC,ATLASPDC-4-37106,8/14/2015,8/14/2015,,0,16/03/21,ok,ok,6.0,31.0,True,True,True,False,True,True,True,False,False,True,ok,ok
document deleted,BRA99G32 Revisão Simplificada junho 2015.pdf,Document deleted,One Line Revision signed in June 2015,BRA,00011660,Project,PRODOC,ATLASPDC-4-37107,8/14/2015,8/14/2015,,0,16/03/21,ok,ok,6.0,33.0,True,True,True,False,True,True,True,False,False,False,ok,ok
document deleted,00110391_ProDoc_00109331.pdf,Document deleted,00110391_ProDoc_00109331,IND,00110391,Project,PRODOC,ATLASPDC-4-91392,08/07/19,11/20/2018,,0,16/03/21,ok,ok,4.0,26.0,True,False,True,True,False,False,True,False,False,False,ok,ok
document deleted,UKSRLM - Pro Docs.pdf,Document deleted,00110393_Prodoc_00109333,IND,00110393,Project,PRODOC,ATLASPDC-4-106899,10/24/2019,10/22/2019,,0,16/03/21,ok,ok,6.0,23.0,True,False,True,True,True,True,True,True,True,False,ok,ok
document deleted,00110396_ProDoc_00109335.pdf,Document deleted,00110396_ProDoc_00109335,IND,00110396,Project,PRODOC,ATLASPDC-4-93002,08/07/19,12/20/2018,,0,16/03/21,ok,ok,5.0,10.0,True,True,False,True,False,True,True,True,False,False,ok,ok
document deleted,PRO-DOC - PSTC 2018-2019 Signed.pdf,Document deleted,PRO-DOC - PSTC 2018-2019 Signed,ETH,00110398,Project,PRODOC,ATLASPDC-4-90424,2/28/2019,10/29/2018,,0,16/03/21,ok,ok,7.0,23.0,True,True,True,True,True,True,True,False,False,True,ok,ok
document deleted,Prodoc- Support to Iraqs Electoral Process 11032018.pdf,Document deleted,Prodoc Support to Iraqs Electoral Process 11032018,IRQ,00110406,Project,PRODOC,ATLASPDC-4-86972,07/12/18,07/12/18,,0,16/03/21,ok,ok,7.0,34.0,True,True,True,True,True,True,True,False,True,False,ok,ok
document deleted,UNDP-GEF Initiation Plan Philippines GEF7_May 2019.ds (002).docx,Document deleted,PPG SGP7 Initiation Plan,PHL,00110426,Project,PRODOC,ATLASPDC-4-100411,11/01/19,06/10/19,,0,16/03/21,ok,ok,3.0,61.0,True,True,False,False,False,False,True,True,True,False,ok,ok
document deleted,Documento de proyecto firmado TSE.pdf,Document deleted,PRODOC firmado,GTM,00110431,Project,PRODOC,ATLASPDC-4-87026,1/17/2019,7/13/2018,,0,16/03/21,ok,ok,3.0,22.0,False,True,False,False,True,False,True,True,False,False,ok,ok
document deleted,MDG_Prodoc_Programme national de Volontariat_Jeunes_Final_082017 (1).docx,Document deleted,MDG_Prodoc_Programme national de Volontariat_Jeunes_Final_082017 1,MDG,00110449,Project,PRODOC,ATLASPDC-4-96160,2/13/2019,2/13/2019,,0,16/03/21,ok,ok,4.0,128.0,True,False,True,False,False,True,True,True,True,False,ok,ok
document deleted,ProDoc_Cover Page_Airports of Montenegro_eng 13032018.pdf,Document deleted,ProDoc_Cover Page_Airports of Montenegro,MNE,00110452,Project,PRODOC,ATLASPDC-4-83691,04/10/18,3/16/2018,,0,16/03/21,ok,not ok,7.0,1.0,True,True,True,True,True,True,True,False,True,False,ok,ok
document deleted,00110454_FINAL CPD (PRODOC)_Honduras_1Mar2019.pdf,Document deleted,PRODOC Final,HND,00110454,Project,PRODOC,ATLASPDC-4-98815,04/08/19,04/08/19,,0,16/03/21,ok,ok,4.0,150.0,False,False,False,True,True,True,True,False,False,False,ok,ok
document deleted,PRODOC INDOTEL - FIRMADO.pdf,Document deleted,PRODOC INDOTEL  FIRMADO,DOM,00110462,Project,PRODOC,ATLASPDC-4-90618,10/31/2018,10/31/2018,,0,16/03/21,ok,review,2.0,23.0,False,False,False,False,True,False,True,False,False,False,ok,ok
document deleted,Enmienda I PNUD-INDOTEL- Firmado.pdf,Document deleted,Enmienda I PNUDINDOTEL Firmado,DOM,00110462,Project,PRODOC,ATLASPDC-4-90619,10/31/2018,10/31/2018,,0,16/03/21,ok,ok,3.0,24.0,False,True,False,False,True,False,True,True,False,False,ok,ok
